¶‘[LogSystem]System.Void DBData`1::Load(Integer64):62(1)
[String::Concat][System.Int32]System.Void PetBaseDetailView::InitView(TableConfig.PetBase):70(1)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():177(1)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():200(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():474(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():491(1)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):688(1)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):711(1)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):734(1)
[String::Concat][System.Int32]System.Void MofangFillInJingshiView::InitJingheDesc():224(1)
[Utility::Format][System.Int32]System.Void FirPurchaseRewardView::ShowOneCell(FairyGUI.GComponent,MessageDefine.stFirstRewardItem):214(1)
[none]System.Void GameGrabDogView::PrepareData():197(1)
[Utility::Format][System.Int32]System.Void GameGrabDogView::InitDogs():210(1)
[none]System.Void GameGrabDogView::GrabBadDog():388(1)
[none]System.Void GameMoFangView::ReadTable():104(1)
[none]System.Void GameMoFangView::ReadTable():106(1)
[none]System.Void GameMoFangView::ReadTable():114(1)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():140(1)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():153(1)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():160(1)
[none]System.Void MakeupMainView::StartupFGUI():92(1)
[none]System.Void MakeupMainView::StartupFGUI():93(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):72(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):92(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):96(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):104(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):108(1)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():257(1)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():258(1)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():259(1)
[none]System.Void AvatarController::ShowMakeupMainUI():208(5)
[none]System.Void AvatarController::ShowMakeupMainUI():219(1)
[none]System.Void AvatarController::ShowMakeupMainUI():222(1)
[none]MakeupItemModel[] AvatarController::CreateFcaceItemModel():253(1)
[none]MakeupItemModel[] AvatarController::CreateBoneItemModel(System.Int32,System.Int32):270(1)
[none]MakeupItemModel[] AvatarController::CreateBoneItemModel(System.Int32,System.Int32):278(1)
[none]MakeupItemModel[] AvatarController::CreateBoneItemModel(System.Int32,System.Int32):279(1)
[none]MakeupItemModel[] AvatarController::CreateBoneItemModel(System.Int32,System.Int32):288(1)
[none]MakeupItemModel[] AvatarController::CreateDecalItemModel(System.Int32,System.Int32):305(1)
[none]System.Void BanghuiMissionController::ShowMissionView(MessageDefine.QSCMD_MISSION_GANG_LISTSC):54(1)
[Utility::Format]System.Void BanghuiMissionItemView::UpdateGUI():57(1)
[Utility::Format][System.Int32]System.Void BanghuiMissionView::UpdateGUI():38(1)
[none]System.Void BanghuiMissionItemModel::set_tableData(TableConfig.GangMission):19(1)
[none]System.Void BanghuiMissionItemModel::set_tableData(TableConfig.GangMission):25(1)
[none]System.Void BanghuiMissionItemModel::set_tableData(TableConfig.GangMission):28(1)
[none]System.Void BanghuiMissionItemModel::set_tableData(TableConfig.GangMission):37(1)
[none]System.Void PetInfoDetailView::.ctor():26(1)
[none]System.Void PetRongheResultView::StartupFGUI():93(1)
[Utility::Format][System.Int32]System.Void PlotBarrageView::<StartupFGUI>b__12_2():65(1)
[none]System.Void PlotBarrageView::<StartupFGUI>b__12_4():108(1)
[String::Concat][System.Int32]System.Void PlotBarrageView::<StartupFGUI>b__12_4():110(1)
[none]System.Void BattleResultController::QSCMD_BATTLE_RESULT_SHOW_Handler(System.Object):52(1)
[Utility::Format][System.Int32]System.Void BattleResultView::UpdateGUI():80(1)
[none]System.Collections.Generic.Dictionary`2<System.Int32,System.Collections.Generic.List`1<System.Int32>> ActivityData::get_AllActivityByWeek():105(1)
[none]System.Boolean CommonManager::IsShowCom(System.String,CommonManager/RTUI_SHOW):167(1)
[none]System.Int32 CommonManager::GetAppMemory():190(1)
[none]System.Int32 CommonManager::GetTotalMemory():204(1)
[none]System.Void CommonManager::SendException(System.String):478(1)
[LogSystem][System.Int32]System.Void PlayerPackage::UpdateAllQianghuaInfos(MessageDefine.stEquipPartEnhanceInfo[]):424(1)
[none]System.Void PlayerPackage::.ctor():183(1)
[none]System.Void PlayerPackage::.ctor():185(1)
[none]System.Void PvpInfoData::.cctor():29(1)
[LogSystem]System.Void SessionManager::ClearData(System.Boolean):59(1)
[LogSystem]System.Void SessionManager::ClearData(System.Boolean):99(1)
[none]System.Void MeltSaveData::.ctor():326(1)
[none]System.Void UpcomingManager::GoToActive(TableConfig.TodoThing):186(1)
[LogSystem]System.Void BattleViewController::HandleNormalAttackClick(System.Int32,System.Int32,System.Boolean):342(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():160(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():166(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():172(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():175(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():181(1)
[String::Concat]System.Void ChatHUDView::RefreshBottomList():190(1)
[none]System.Void HomePlayerController::OnPvpModeChange(System.Int32):516(1)
[Dict::Format][System.Int32]System.Void HomePlayerController::OnClickPvpMode(System.Int32):531(1)
[Utility::Format][System.Int32]System.Void HomePlayerView::UpdateDebugInfo():201(1)
[Utility::Format][System.Int32]System.Void HomeSidebarController::SortActivityTutorItem(System.Boolean):212(1)
[LogSystem]System.Boolean TutorInfoHelper::ParseHyperLinkString(System.String,System.Int32&,System.String&):308(1)
[none]System.Boolean TutorInfoHelper::ParseHyperLinkString(System.String,System.Int32&,System.String&):312(1)
[LogSystem]System.Boolean TutorInfoHelper::ParseHyperLinkString(System.String,System.Int32&,System.String&):315(1)
[LogSystem]System.Boolean TutorInfoHelper::ParseHyperLinkString(System.String,System.Int32&,System.String&):321(1)
[none]System.Boolean TutorInfoHelper::Parse(System.String,System.Int32&,UnityEngine.Vector3&,System.Boolean&,System.Collections.Generic.List`1<System.Int32>&,CsLibrary.EntityInfo&,System.Int32&):349(1)
[none]System.Boolean TutorInfoHelper::Parse(System.String,System.Int32&,UnityEngine.Vector3&,System.Boolean&,System.Collections.Generic.List`1<System.Int32>&,CsLibrary.EntityInfo&,System.Int32&):356(1)
[none]System.Boolean TutorInfoHelper::Parse(System.String,System.Int32&,UnityEngine.Vector3&,System.Boolean&,System.Collections.Generic.List`1<System.Int32>&,CsLibrary.EntityInfo&,System.Int32&):369(1)
[none]System.Void HomeSidebarView::OnSendCallOn():480(1)
[LogSystem]System.Void SocialActionView::OnClickActionItem(FairyGUI.EventContext):139(1)
[Utility::Format][System.Int32]System.Void SocialActionView::ShowFriendTip(System.Int32,System.Int32):183(1)
[none]System.Void StoryQTEClickView::SetQTEInfo(TableConfig.Qte):54(1)
[none]System.Void TowerLevelUpView::.ctor():19(1)
[none]System.Void TowerLevelUpView::.ctor():20(1)
[none]System.Void UserSkillAdvanceView::RefreshUI():39(1)
[String::Concat]System.Void UserSkillView::UpdateXiaKeTip():182(1)
[Dict::Format][System.Int32]System.Void UserSkillView::UpdateXiaKeTip():185(1)
[Utility::Format][System.Int32]System.Void UserSkillView::UpdateXiaKeTip():215(1)
[Dict::Format][System.Int32]System.Void UserSkillView::onSubTabChanged():316(1)
[String::Concat]System.Void UserSkillView::UpdateSkillDetail_Upgrade_Right():614(1)
[Dict::Format][System.Int32]System.Void UserSkillView::UpdateSkillDetail_Upgrade_Right():661(1)
[Dict::Format][System.Int32]System.Void UserSkillView::UpdateSkillDetail_Use_Right():728(1)
[Dict::Format][System.Int32]System.Void UserSkillView::OnClickBeidongSkill(FairyGUI.EventContext):911(1)
[Dict::Format][System.Int32]System.Void UserSkillView::OnClickBeidongSkill(FairyGUI.EventContext):915(1)
[Dict::Format][System.Int32]System.Void UserSkillView::OnClickSkill_Upgrade_Left(System.Int32):1099(1)
[none]System.Void UserSkillView::.ctor():27(1)
[none]System.Void UserSkillView::.ctor():28(1)
[none]System.Void UserSkillView::.ctor():36(1)
[none]System.Void UserSkillView::.ctor():73(1)
[none]System.Void UserSkillView::.ctor():74(1)
[none]System.Void UserSkillView::.ctor():78(1)
[none]System.Void UserSkillView::.ctor():79(1)
[none]System.Void UserSkillView::.ctor():83(1)
[none]System.Void UserSkillView::.ctor():84(1)
[LogSystem]System.Void XunShouChunQiuView::RefreshUI():68(1)
[Utility::Format][System.Int32]System.Void XunShouChunQiuView::UpdateLeftTime(FairyGUI.GTextField):102(1)
[LogSystem][System.Int32]System.Void XunShouChunQiuView::UpdateTitleList():123(1)
[LogSystem][System.Int32]System.Void XunShouChunQiuView::UpdateTitleList():128(1)
[LogSystem]System.Void XunShouChunQiuView::OnClickTitleItem(FairyGUI.EventContext):137(1)
[LogSystem]System.Void XunShouChunQiuView::SwitchToSheet(System.Int32):147(1)
[LogSystem][System.Int32]System.Void XunShouChunQiuView::UpdateSheetByActivityType(System.Int32):171(1)
[LogSystem]System.Void XunShouChunQiuView::OnClickRewardItem(FairyGUI.EventContext):248(1)
[Utility::Format][System.Int32]System.Void XunShouChunQiuView::UpdateGiftPackageItem(FairyGUI.GComponent,ShortTermRewardManager/ItemListData,System.Boolean):265(1)
[none]System.Void XunShouChunQiuView::UpdateBindUser(ShortTermRewardManager/ItemListData):283(1)
[LogSystem][System.Int32]System.Void XunShouChunQiuView::UpdateIconListItem(FairyGUI.GList,MessageDefine.MSG_stSimpleItem2List):376(1)
[LogSystem]System.Void XunShouChunQiuView::OnClickRewardButton(System.String):388(1)
[Utility::Format][System.Int32]System.Void TutorListView::UpdateGUI():47(1)
[Utility::Format][System.Int32]System.Void TutorListView::OnTutorListRender(System.Int32,FairyGUI.GObject):127(1)
[Utility::Format][System.Int32]System.Boolean TutorListView::OnClickTutorEffect(System.Int32):269(1)
[none]System.Void XiaodituMainView::StartupFGUI():252(1)
[find:OnViewUpdate, XiaodituMainView::setPositionInfoXZ[Utility::Format][System.Int32]System.Void XiaodituMainView::setPositionInfoXZ(System.Int32,System.Int32):574(1)
[LogSystem]System.String LoadPictureManager::LocalPicture(System.String):45(1)
[LogSystem]System.String LoadPictureManager::LocalPicture(System.String):50(1)
[none]System.Void LoginManager::.ctor():32(1)
[none]System.Void LoginManager::.ctor():41(1)
[LogSystem]System.Void LoginManager::QSCMD_CREATECHARSC_Handler(System.Object):958(1)
[LogSystem]System.Void LoginManager::QSCMD_PRE_CREATECHARSC_Handler(System.Object):1003(1)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::QSCMD_NEW_ESCORT_CARSC_Handler(System.Object):45(1)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):94(1)
[none]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):102(1)
[Utility::Format][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):126(1)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):135(1)
[none]System.Void DialogMessageHandler::QSCMD_NPC_COMMANDSC_Handler(System.Object):41(1)
[LogSystem]System.Void DialogMessageHandler::QSCMD_NPC_COMMANDSC_Handler(System.Object):72(1)
[none]System.Void DropItemMessageHandler::QSCMD_CREATE_DROPITEMSC_Handler(System.Object):76(1)
[Utility::Format][System.Int32]System.Void ItemMessageHandler::QSCMD_TRIGGER_EQUIP_WIELDSC_Handler(System.Object):229(1)
[Utility::Format][System.Int32]System.Void ItemMessageHandler::QSCMD_TRIGGER_EQUIP_WIELDSC_Handler(System.Object):237(1)
[LogSystem]System.Void SkillMessageHandler::PlayDead(CsLibrary.EntityInfo,CsLibrary.EntityInfo):148(1)
[none]System.Void SkillMessageHandler::QSCMD_SKILL_EFFECTSC_Handler(System.Object):258(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_INIT_SKILLSC_Handler(System.Object):386(1)
[LogSystem]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):489(1)
[none]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):494(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):502(1)
[none]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):518(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):525(1)
[LogSystem]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):529(1)
[LogSystem]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):534(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):540(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):545(1)
[none]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):564(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):576(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):583(1)
[none]System.Void SkillMessageHandler::QSCMD_USE_SKILL_CHAINSC_Handler(System.Object):645(1)
[GfxStorySystem::SendMessage]System.Void StoryMessageHandler::QSCMD_STORY_BEGINSC_Handler(System.Object):33(1)
[LogSystem][System.Int32]System.Void StoryMessageHandler::QSCMD_STORY_BEGINSC_Handler(System.Object):40(1)
[GfxStorySystem::SendMessage]System.Void StoryMessageHandler::QSCMD_STORY_ENDSC_Handler(System.Object):66(1)
[LogSystem][System.Int32]System.Void StoryMessageHandler::QSCMD_STORY_ENDSC_Handler(System.Object):70(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateItemUI():250(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateItemUI():278(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():478(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():500(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():504(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():510(1)
[none]System.Void EquipTipView::UpdateEquipUI():523(1)
[none]System.Void EquipTipView::UpdateEquipUI():527(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():558(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():562(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():607(1)
