Σ[none]System.Void DBData`1::Load(Integer64):43(1)
[String::Concat][System.Int32]System.Void MultiPetRonghePublishView::Zili2ListItemRenderer(System.Int32,FairyGUI.GObject):474(1)
[String::Concat][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():186(1)
[Utility::Format][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():188(1)
[String::Concat][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():202(1)
[Utility::Format][System.Int32]System.Void MultiPetRonghePublishView::<InitByPetGridId>b__27_3():203(1)
[String::Concat][System.Int32]System.Void PetBaseDetailView::InitView(TableConfig.PetBase):70(10)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():108(1)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():134(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():139(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():144(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():149(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():154(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():158(1)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():159(1)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():177(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():181(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():200(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():204(2)
[String::Concat][System.Int32]System.Void PetImproveView::RefreshView():225(1)
[String::Concat][System.Int32]System.Void PetMakePreDetailView::ItemRenderer(System.Int32,FairyGUI.GObject):161(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowPetMakeListPreView(TableConfig.MachinistShow):276(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowPetMakeListPreView(TableConfig.MachinistShow):325(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowPetMakeListPreView(TableConfig.MachinistShow):373(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():458(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():459(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():460(1)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():474(2)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():478(2)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():491(2)
[String::Concat][System.Int32]System.Void MachineMakeView::ShowZonglanView():495(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):639(1)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):688(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):693(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):711(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):716(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):734(2)
[String::Concat][System.Int32]System.Void MachineMakeView::SetCurrentPet(TableConfig.MachinistProduct):739(2)
[String::Concat][System.Int32]System.Void MofangFillInJingshiView::InitJingheDesc():224(1)
[Utility::Format][System.Int32]System.Void FirPurchaseRewardView::ShowOneCell(FairyGUI.GComponent,MessageDefine.stFirstRewardItem):214(1)
[Utility::Format][System.Int32]System.Void GameGrabDogView::InitDogs():210(1)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():140(2)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():153(1)
[Utility::Format][System.Int32]System.Void GameMoFangView::PrepareCompInfo():160(1)
[String::Concat][System.Int32]System.Void MingjianShuxingView::setData():542(1)
[FairyGUI.GObject::data][System.Int32]System.Void MingjianTupuView::OnSwordListRender(System.Int32,FairyGUI.GObject):1204(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::InitMoFangList():158(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::InitJingshiList():200(1)
[Debug::Log][System.Int32]System.Void MofangFuTiView::InitPropertyUI():226(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::InitPropertyUI():241(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::InitPropertyUI():258(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::ShowSingleMofangDetail():354(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::ShowSingleMofangDetail():402(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::ShowAllMofangDetail():473(1)
[String::Concat][System.Int32]System.Void MofangFuTiView::ShowAllMofangDetail():480(1)
[String::Concat]System.Void MofangPetSetView::InitjingshiList():254(1)
[String::Concat][System.Int32]System.Void MofangPetSetView::InitjingshiList():256(1)
[String::Concat][System.Int32]System.Void MofangPetSetView::InitjingshiList():261(1)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):72(2)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):92(2)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):96(2)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):104(2)
[String::Concat][System.Int32]System.Void MofangPojieView::InitView(System.Int32,System.Int32):108(2)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():257(1)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():258(1)
[Utility::Format][System.Int32]System.Void PanlongFinishView::UpdateGUI():259(1)
[Utility::Format]System.Void BanghuiMissionItemView::UpdateGUI():57(1)
[Utility::Format][System.Int32]System.Void BanghuiMissionView::UpdateGUI():38(2)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::StartupFGUI():55(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::StartupFGUI():61(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::StartupFGUI():67(1)
[Debug::Log]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):96(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):103(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):131(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):132(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):145(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):163(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):164(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):179(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):196(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):197(1)
[Debug::Log][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):212(1)
[String::Concat][System.Int32]System.Void PetAccedeResultView::Init(MessageDefine.stPet,MessageDefine.stPet,MessageDefine.ePET_INHERIT_SELECT):229(2)
[Debug::Log]System.Void PetAccedeView::OnPetListRender(System.Int32,FairyGUI.GObject):261(1)
[Debug::Log][System.Int32]System.Void PetAccedeView::OnPetListRender(System.Int32,FairyGUI.GObject):267(1)
[String::Concat][System.Int32]System.Void PetAccedeView::OnPetListRender(System.Int32,FairyGUI.GObject):273(1)
[String::Concat][System.Int32]System.Void PetAccedeView::OnPetListRender(System.Int32,FairyGUI.GObject):274(2)
[String::Concat]System.Void PetAccedeView::OnPetListRender(System.Int32,FairyGUI.GObject):278(1)
[String::Concat][System.Int32]System.Void PetInfoDetailView::StartupFGUI():100(1)
[String::Concat]System.Void PetInfoDetailView::ShowSkillDetail(MessageDefine.stPetSkillItem):269(1)
[String::Concat][System.Int32]System.Void PetRongheResultView::StartupFGUI():96(1)
[String::Concat][System.Int32]System.Void PetRongheResultView::Zili2ListItemRenderer(System.Int32,FairyGUI.GObject):419(1)
[Utility::Format][System.Int32]System.Void PlotBarrageView::<StartupFGUI>b__12_2():65(1)
[none]System.Void PlotBarrageView::<StartupFGUI>b__12_4():108(1)
[Debug::Log]System.Void RewardGetBackView::OnRewardGetBack1Click():101(1)
[Debug::Log][System.Int32]System.Void RewardGetBackView::OnRewardGetBack1Click():120(1)
[Debug::Log][System.Int32]System.Void RewardGetBackView::OnRewardGetBack1Click():131(1)
[Debug::Log][System.Int32]System.Void RewardGetBackView::OnRewardGetBack1Click():147(1)
[String::Concat][System.Int32]System.Void CommonManager::MidasPay(System.Int32,System.String,System.String,System.String,System.String,System.Int32):271(1)
[LogSystem][System.Int32]System.Void PlayerPackage::UpdateAllQianghuaInfos(MessageDefine.stEquipPartEnhanceInfo[]):424(1)
[String::Concat][System.Int32]System.Void BattleViewController::SkillButtonAction(System.Int32,System.Int32,BattleView/PressState):246(1)
[LogSystem]System.Void BattleViewController::HandleNormalAttackClick(System.Int32,System.Int32,System.Boolean):342(1)
[String::Concat]System.Void HomePlayerView::UpdateDebugInfo():198(1)
[Utility::Format][System.Int32]System.Void HomePlayerView::UpdateDebugInfo():201(2)
[String::Concat][System.Int32]System.Void HomePlayerView::UpdateDebugInfo_Fps():208(1)
[StringBuilder::AppendFormat][System.Int32]System.Void HomePVPInfoView::ShowText(System.Int32):110(2)
[Utility::Format][System.Int32]System.Void HomeSidebarController::SortActivityTutorItem(System.Boolean):212(1)
[String::Concat][System.Int32]SkillCache/CacheData SkillCache::Tick():88(1)
[FairyGUI.GObject::data][System.Int32]System.Void SocialActionView::RefreshActions():94(1)
[UIMasterUtils::ShowTipByPos][System.Int32]System.Void SocialActionView::OnClickActionItem(FairyGUI.EventContext):146(1)
[Utility::Format][System.Int32]System.Void SocialActionView::ShowFriendTip(System.Int32,System.Int32):183(1)
[FairyGUI.GObject::data][System.Int32]System.Void SocialActionView::ShowFriendTip(System.Int32,System.Int32):184(1)
[String::Concat][System.Int32]System.Void MofangUpgradeJingshiView::RefreshView():131(1)
[String::Concat][System.Int32]System.Void MofangUpgradeJingshiView::RefreshView():136(1)
[String::Concat][System.Int32]System.Void MofangUpgradeJingshiView::RefreshView():137(1)
[String::Concat]System.Void MofangUpgradeJingshiView::RefreshView():138(1)
[String::Concat][System.Int32]System.Void MofangUpgradeJingshiView::RefreshView():139(1)
[String::Concat][System.Int32]System.Void MofangUpgradeJingshiView::RefreshView():143(2)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillAdvanceView::RefreshUI():48(1)
[Utility::Format][System.Int32]System.Void UserSkillView::UpdateXiaKeTip():215(1)
[String::Concat][System.Int32]System.Void UserSkillView::StartupFGUI():152(1)
[String::Concat][System.Int32]System.Void UserSkillView::StartupFGUI():154(1)
[String::Concat]System.Void UserSkillView::ShowSubTabName_Use_Right():430(1)
[String::Concat]System.Void UserSkillView::ShowSubTabName_Use_Right():431(1)
[Dict::Format][System.Int32]System.Void UserSkillView::UpdateSkillDetail_Upgrade_Right():661(1)
[Dict::Format][System.Int32]System.Void UserSkillView::UpdateSkillDetail_Use_Right():728(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateBeiDongSkillInfo():872(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Upgrade_Left_Impl(FairyGUI.GComponent[],System.Collections.Generic.List`1<MessageDefine.stUserSkillItem>,System.Int32):1145(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Upgrade_Left_Impl(FairyGUI.GComponent[],System.Collections.Generic.List`1<MessageDefine.stUserSkillItem>,System.Int32):1146(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Upgrade_Left_Impl(FairyGUI.GComponent[],System.Collections.Generic.List`1<MessageDefine.stUserSkillItem>,System.Int32):1150(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Use_Right():1255(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Use_Right():1256(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSkillPackageList_Use_Right():1260(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSettingSkill():1303(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSettingSkill():1322(1)
[FairyGUI.GObject::data][System.Int32]System.Void UserSkillView::UpdateSettingSkill():1323(1)
[FairyGUI.GObject::data][System.Int32]System.Void XunShouChunQiuView::UpdateTitleList():117(1)
[LogSystem][System.Int32]System.Void XunShouChunQiuView::UpdateSheetByActivityType(System.Int32):171(1)
[Utility::Format][System.Int32]System.Void XunShouChunQiuView::UpdateGiftPackageItem(FairyGUI.GComponent,ShortTermRewardManager/ItemListData,System.Boolean):265(2)
[FairyGUI.GObject::data][System.Int32]System.Void XunShouChunQiuView::UpdateIconListItem(FairyGUI.GList,MessageDefine.MSG_stSimpleItem2List):365(1)
[UIMasterUtils::ShowTipByPos][System.Int32]System.Void XunShouChunQiuView::ShowItemDetail(System.Int32,UnityEngine.Vector2):395(1)
[String::Concat][System.Int32]System.Void TeamTutorView::UpdateUI():65(1)
[String::Concat][System.Int32]System.Void TeamTutorView::OnMemberLevelChange(Integer64,System.Int32):155(1)
[Utility::Format][System.Int32]System.Void TutorListView::UpdateGUI():47(3)
[Utility::Format][System.Int32]System.Void TutorListView::OnTutorListRender(System.Int32,FairyGUI.GObject):127(1)
[Utility::Format][System.Int32]System.Boolean TutorListView::OnClickTutorEffect(System.Int32):269(1)
[find:OnViewUpdate, XiaodituMainView::setPositionInfoXZ[Utility::Format][System.Int32]System.Void XiaodituMainView::setPositionInfoXZ(System.Int32,System.Int32):574(2)
[String::Concat][System.Int32]System.Boolean LoginManager::CheckRoleOperCD():130(1)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::QSCMD_NEW_ESCORT_CARSC_Handler(System.Object):45(2)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):94(2)
[none]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):102(1)
[Utility::Format][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):126(5)
[LogSystem][System.Int32]System.Void BiaocheMessageHandler::CreateNewBiaoche(MessageDefine.QSCMD_NEW_ESCORT_CARSC):135(2)
[none]System.Collections.ArrayList DialogMessageHandler::GetArrayArgs(LitJson.JsonData,System.Int32,System.Int32):87(1)
[none]System.Collections.ArrayList DialogMessageHandler::GetArrayArgs(LitJson.JsonData,System.Int32,System.Int32):92(1)
[none]System.Collections.ArrayList DialogMessageHandler::GetArrayArgs(LitJson.JsonData,System.Int32,System.Int32):94(1)
[none]System.Collections.ArrayList DialogMessageHandler::GetArrayArgs(LitJson.JsonData,System.Int32,System.Int32):96(1)
[none]System.Collections.ArrayList DialogMessageHandler::GetArrayArgs(LitJson.JsonData,System.Int32,System.Int32):98(1)
[String::Concat][System.Int32]System.Void DropItemMessageHandler::QSCMD_CREATE_DROPITEMSC_Handler(System.Object):55(1)
[none]System.Void SkillMessageHandler::QSCMD_SKILL_EFFECTSC_Handler(System.Object):258(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_INIT_SKILLSC_Handler(System.Object):386(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):540(1)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):545(1)
[none]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):564(2)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):576(2)
[LogSystem][System.Int32]System.Void SkillMessageHandler::QSCMD_UPDATE_SKILLSC_Handler(System.Object):583(2)
[none]System.Void SkillMessageHandler::QSCMD_USE_SKILL_CHAINSC_Handler(System.Object):645(2)
[LogSystem][System.Int32]System.Void StoryMessageHandler::QSCMD_STORY_BEGINSC_Handler(System.Object):40(1)
[LogSystem][System.Int32]System.Void StoryMessageHandler::QSCMD_STORY_ENDSC_Handler(System.Object):70(1)
[String::Concat][System.Int32]System.Void EquipTipView::StartupFGUI():188(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateItemUI():250(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateItemUI():278(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():478(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():500(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():504(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():510(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():558(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():562(2)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():607(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():631(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():716(1)
[Utility::Format][System.Int32]System.Void EquipTipView::UpdateEquipUI():779(1)
[String::Concat][System.Int32]System.String QuickUseView::CountDownTimeFormat(System.Int32):109(1)
[String::Concat][System.Int32]System.String QuickUseView::CountDownTimeFormat(System.Int32):110(1)
[LogSystem][System.Int32]System.Void PetObjectManager::CreateNewPet(MessageDefine.QSCMD_NEW_OBJPETSC):34(2)
[LogSystem][System.Int32]System.Void PetObjectManager::CreateNewPet(MessageDefine.QSCMD_NEW_OBJPETSC):55(2)
[Utility::Format][System.Int32]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):86(5)
[Utility::Format][System.Int32]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):110(5)
[none]System.Void PetObjectManager::UpdatePetProperty(CsLibrary.EntityInfo,System.String,System.Single,System.Single,System.Collections.Generic.List`1<MessageDefine.QSAttrPair>,System.Boolean):111(6)
[LogSystem][System.Int32]System.Void PlayerController::SkipStory():704(1)
[Utility::Format]System.Void ConfigManager::MergeDictionary(System.Collections.Generic.Dictionary`2<TKey,TValue>,System.Collections.Generic.Dictionary`2<TKey,TValue>[]):1632(2)
[LogSystem]System.Void Cs2LuaModuleProxy::SendPing():21(1)
[LogSystem][System.Int32]System.Void GameControler::TickGame():85(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::HandleQueuedMessages():94(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::OnReceive(System.Byte[],System.Int32):135(1)
[LogSystem][System.Int32]System.Void MessageHandlerManager::OnReceive(System.Byte[],System.Int32):147(2)
[LogSystem][System.Int32]System.Void MessageHandlerManager::ResumeAndConsumeAll():181(1)
[LogSystem]System.Void MessageHandlerManager::HandlePong(System.Object):190(2)
[LogSystem][System.Int32]System.Void SceneMessageHandler::QSCMD_USERATTR_DETAILSC_Handler(System.Object):203(3)
